,tweet,language,topic_name,sub_topic
139,@zomato @zomatocare team you have served me the non veg noodles in savan month and hurt my religious sentiments. I am a pure vegetarian and having a non veg item in my food make me mentally stressed. Order 3514702669 #pathetic,en,Economics and Retail,Initial Public Offering (IPO)
140,"The Current Status of Cyclone #Vardah in Chennai, Tamil Nadu. @ndtv…  https://t.co/B9ohGCkyTD",en,Natural Disaster,Cyclone
141,ملک بھر میں سیلاب ، زلزلوں اور دیگر قدرتی آفات میں کے کے ایف عوام کی بلا امتیاز مدد کرتی آرہی ہے  #DonateHidesToKKF,ur,Natural Disaster,Flood
142,"""A new definition of “forest restoration” that excludes monoculture plantations is needed."" @CubaRaglanGuy @jamespeshaw @JulieAnneGenter @matroked @ENVIR_HEALTH @onzamap_nz @LynnW192 @HarindaV @TaylorMooreK @3VPol",en,Wildlife and Vegetation,Restoration
143,@TheBlackHole_0 💯 Let's do it  #JusticeForSSR,en,Journalism & Media,Social Movements and News
144,India to other country for mangalyaan mission,en,R&D and Technology,ISRO
145,"""Look At India, It's Filthy"": Donald Trump Shifts Blame On Climate Change  https://t.co/dXT7tqzBUG … via @ndtv",en,ENVIRONMENT,Climate Change
146,तृणमूल कांग्रेस ने चक्रवात राहत राशि के वितरण में भ्रष्टाचार के आरोपों के बाद 18 श्रमिकों को निलंबित कर दिया Trinamool Congress suspends 18 workers after allegations of corruption in distribution of cyclone relief amount - india news - Hindustan Times  https://t.co/6J4CT5g4rs,und,Natural Disaster,Cyclone
147,"@nsitharaman 6k crs will it show a increased forest cover in specified area ? Yes, water conservation projects , can give good increase in jobs and will impact India for years to come. Both , forest and water, will have long term sustenance benefits. @narendramodi",en,Wildlife and Vegetation,Forest Cover
148,Bamboo handicrafts 😍  https://t.co/jLFt4zrpPz,en,Art and Literature,Forms of Indian Art
149,"While some start-ups flounder from the get-go, some rise to the top and become billion-dollar ideas. Here are some of the most inspiring images of top Indian startups in their initial years.   #nrlideation #startup #startupindia #successstories  https://t.co/KskCJ2hF0w",en,Economics and Retail,Unicorns
150,Gir Forest National Park for wildlife lovers #yatraamigo #Yatra #explorewithyatraamigo #travelwithyatraamigo  #travelblogger #incredibleindia #bharatdarshan #yatraamigoforyou #gujaratdarshan #wildlife #wildlifesanctuary #girforest  #wildlifephotography #wildlifelover #BharatDekho  https://t.co/Zj5vS4shzj,en,Wildlife and Vegetation,Gir National Park
151,Airtel are frustrating my life,en,R&D and Technology,Mobile Technology
152,"Seasonal rains bring widespread floods to parts of southern China, but welcome relief from the heat in parts of India. Here is @JennyConsulting with your end of week forecast:  https://t.co/2XwDvYBoNK",en,ENVIRONMENT,Floods
153,Fighterspedia karate kicks video available at  https://t.co/3zFplbZ1qN #karate #Onlineclass #karatekicks #fighterspedia #womenempowerment #training #remotelearning #girlspower #webinar #DistanceLearning #fightback #intenseworkout #wkf #trending #StrengthTraining #education #sports,en,Education,Online Education
154,@il_bondo I’ve not had any internet for over 24hrs now. I live in Nottingham. I call @virginmedia &amp; get a call centre in India with stupid suggestions. Worst company ever for broadband. Shame on u #virginmedia 😡,en,Films and OTT,OTT Voicecalling
155,ਜਿੰਦਗੀ ਓਹੀ ਆ ਜੋ ਜੀਅ ਰਹੇ ਆ ਇਹ ਕਰਾਂਗੇ ਉਹ ਕਰਾਂਗੇ ਇਹ ਤਾਂ ਸੁਪਨੇ ਆ #MSP_FarmersRight #FarmersProtest,pa,Politics,Farmer Agitation
156,With the New Margin Rule SEBI ensured that Option Selling is a big boys game. Common man won’t get bite in this game at all. What is the point in taking out leverage?? @AnilSinghvi_ @Vishvesh03 #SEBIAgainstRetailers #SEBIbringMarginBack,en,Economics and Retail,SEBI and New margin rules
157,But but indira is gutsy na .,en,Sports,Olympics
158,#Hyderabad Book Fair From December 18 to 27.,en,Art and Literature,Book Fairs
159,હું પોતે પણ નેપોટિઝ્મનો શિકાર બન્યો છું : સૈફ અલી ખાન  https://t.co/jMh2lVRn0G,gu,Wildlife and Vegetation,Wildlife Crime
160,"मि० @JM_Scindia ,  यह है सही मायनों में गर्व करने योग्य पिता और पुत्र.!   पिता ने हाड़-तोड़ मेहनत कर चने बेचे और पुत्र ने अपनी मेहनत व लगन से अपने पिता के संकल्प को IIT में सेलेक्ट होकर पूर्ण किया.!   ना कि सारे संसाधनों की सुविधाओं से युक्त साधारण ग्रेजुएशन करने मात्र से.!  https://t.co/C7JaXliI4L",hi,Education,IIT
161,"This sounds promising, but the UK needs to put its own house in order as well as helping other countries. We're one of the most deforested nations in Europe &amp; need a massive forest restoration effort, and, ancient woodlands should not be destroyed for HS2!  https://t.co/lZr5xfaGy9",en,Wildlife and Vegetation,Restoration
162,痛いのは嫌い、もう嫌なの…！,ja,Manufacturing,Make in India
163,Congratulations to #LynnLucy starring our extraordinary Roxanne Scrimshaw for winning Best British Film at the 6th National Film Awards. @Roxstarr91 @NATFilmAwards  https://t.co/kn5XuYLjeu,en,Films and OTT,NationalFilmAwards
164,Nepotism,cs,Films and OTT,Nepotism in Film Industry
165,@Pawankhera This can be only one person's brain child,en,Politics,Pegasus Snooping
166,(BIG EVENT)   DICARI 2 Peserta lg DECOUPAGE  FESTIVAL  2017 1 s/d  4-juni  - Lomba art Deco  - Workshop - Recycling - dll  W a : 08999357520,in,Art and Literature,Art festivals
167,@EconomicTimes Give importance to #अखण्ड_भारत instead of playing #castepolitics. Wasnt it same @RSSorg which played different tune before @BJP4India got elected in 2014❓So why change your ideology  from #AtmanirbharBharat to #CasteBasedReservation❓  #आरक्षण_भारत_छोड़ो  #आरक्षण_ही_जातीवाद_है,en,Manufacturing,Make in India
168,L'Agenzia Spaziale Indiana lancia la sua prima missione lunare senza equipaggio con la navicella Chandrayaan-1. 🚀😍  https://t.co/8GwQoPOjos,it,R&D and Technology,ISRO
169,@CMOfficeAssam Respected sir i lodge a complaint bribery against fssai designated officer of Barak Valley Surat Zaman Choudhury to food safety commissioner assam but no action has taken on my complaint.I have evidential proof and witness of giving bribe to him. Please help.,en,FOOD,Food security
170,Kaziranga National Park Tour Package  | @scoopit  https://t.co/f1Jdb96jdJ,fr,Wildlife and Vegetation,Kaziranga National Park
171,"#zomato almost 2 hours late didn't expected to this from you. The delivery person said order has been handed over1hr ago. And you made it late,cause untill you get second order ready you won't be able to deliver #kuchtowsharmkaro",en,Economics and Retail,Initial Public Offering (IPO)
172,FSSAI – Merck Opens C-MAT Center for Microbiological Analysis Training  https://t.co/mlK8qQH7Qy  https://t.co/wSfuVQIpGt,fr,FOOD,Food security
173,The Esoteric Fort at Bandhavgarh National Park in India  https://t.co/3SPCgndGCw,en,Wildlife and Vegetation,Bandhavgarh National Park
174,My Interview Published in Kabir NewsPaper's front page on Great Indian Bustard- ઘોરાડ (Endangered species bird) of Kutch's situation  #GIB #SaveGIB #GreatIndianBustard Vijay Rupani Narendra Modi Envis Bnhs Great Indian Bustard,en,Wildlife and Vegetation,Save the Great Indian Bustard
175,@indiannavy @SpokespersonMoD @DefenceMinIndia @PMOIndia @makeinindia @drajaykumar_ias @rajnathsingh @PIB_India @DDNewslive @airnewsalerts @PBNS_India @PTI_News @MIB_India @DefencePROkochi @DefPROMumbai @PRO_Vizag Feeling Proud of you guys…congratulations and more power to you..,en,Manufacturing,Make in India
176,📌Marathon Live! (QnA) #JoSAA Counseling-2020 I #IIT-#NIT-#IIIT Admission I👇👇  https://t.co/EUfEUYOPsx  https://t.co/glnoQupNrH,en,Education,IIT
177,This is all because of incapable @SindhGovt1 who could stop and manage the flood in mumbai #INDIA.  Shame on you shame on you @AKFixit @DuaBhuttoPTI @KhurrumZamanPTI @Fsnaqvi @PTIofficial,en,ENVIRONMENT,Floods
178,"Just rescheduled a chat with this wonderful young lady because she is in the middle of a protest. To all the young people out there protesting globally to protect the environment, please don't stop. We need your voices very, very much. 💚#pollution #protest #india #MondayMorning",en,ENVIRONMENT,Pollution
179,@justvoot @VimalElaichi @BeingSalmanKhan @karanjohar @VootSelect @swiggy_in @CoinDCX Statue Waale Task Mein @milindgaba Ne Potty Dalaa Sab Par ...Is Par In Logo Ko Gussa Kyu nahi Aaya...Mere Samjh Mein Ye Baat nahi aa Rahi hai🤔😡😡😃,hi,FOOD,Online food delivery
180,"#JaipurLiteratureFestival2021 में डॉ.गुलाब कोठारी की पुस्तक का विमोचन आज दरबार हॉल से सायं 4.30 विमोचन किया जाएगा। @JaipurLitFest   “MANAS : Our Behaviour : Truth-Untruth” AVAILABLE FOR SALE @ website:  https://t.co/UqXuxMDIfB, amazon: https://t.co/ec4jWSc3a8, Available on flipkart",und,Art and Literature,Literature festivals
181,HolidaysAt Wildlife Safari In Gir National Park Enquire Now @  https://t.co/nvurTxH9rf • 3 Nights in Sasan gir #www.HolidaysAt.com Ph: +91-9911788187 info@HolidaysAt.com  https://t.co/6dtwfINwL5,en,Wildlife and Vegetation,Gir National Park
182,"@ajaydevgn @itsKajolD I live in the Sundarban(India), one of the largest mangrove forest in the world (UNESCO World Heritage Site).I want to build a small hospital where the helpless people in my area can get proper treatment free of cost...please help us...   ( jit94314@gmail.com )",en,Wildlife and Vegetation,Wildlife Tourism and Heritage
183,@adityadickysin @prernabindra @zubinashara @dhruv_rathee @vivek4wild @ifawglobal @AzzedineTDownes @deespeak @RandeepHooda Tho I think villianising these particular ppl in this incident may be counter productive as that might show this to be a ‘One-off’ incident rather than portraying how illegal wildlife crime is normalised in many places in India and the consequences of unsustainable city planning,en,Wildlife and Vegetation,Wildlife Crime
184,The Family Man season 2 arrives soon... Official intro poster by team TFM &amp; Amazon Prime... Series will be released in Hindi / Tamil / Telugu on same day... #TheFamilyMan #AmazonPrime  https://t.co/grzc6niNsp,en,Films and OTT,OTTCensorship
185,#TOPGAINERS  Symbol      LTP    % Change   #BAJAJ-AUTO 3916.4 1.64 #TITAN 1719.1 1.02 #HCLTECH 988.0 0.96 #JSWSTEEL 722.85 0.88 #TATASTEEL 1284.0 0.86,und,Manufacturing,Steel Manufacturing
186,"""There's a perspective that humans did this damage and it's our job to fix it ... Another view is that forest restoration is fundamentally natural, and that humans can assist it, but ultimately it should be governed by natural processes.""  https://t.co/WLddiWzjUD",en,Wildlife and Vegetation,Restoration
187,"वन्यजीवन हे मानव जीवनाइतकेच महत्वाचे आहे, सर्वजण मिळून त्यांचे संरक्षण व संवर्धन करूया.  #जागतिक_वन्यजीव_संरक्षण_दिन  https://t.co/yo9Q9EF4aa",mr,Wildlife and Vegetation,all_conservation
188,Eaten by Lions wins best comedy award at National Film awards @fatjacko,en,Films and OTT,NationalFilmAwards
189,Dear @aajtak  why are you always support #bjpgovernment  Bcz you can't have guts to show reality of news always we are seeing you support #modisarkarvsindia  how many money #bjp gave you to you start chanting names of the huge carupt party .,en,Journalism & Media,Social Movements and News
190,@minesh_jsn @ShrutiKgs અચ્છા. બસ હવે પછીનો શિકાર કોઈ હિંદુ છોકરી ન થાય એવું ઇચ્છીએ,gu,Wildlife and Vegetation,Wildlife Crime
191,@RajivRanjanCSL @KarunaRaghuwan8 @IAmGMishra @SeemaTi07418259 @shuklapinku @I_M_Shreyaa @arunbajpairajan @ChouhanShivraj @Goluvaishali हमे हीरा नही ऑक्सीजन चाहिए... #बकस्वाहा_जंगल_बचाओ_अभियान #वी_डी_शर्मा_माफी_मांगो #वी_डी_शर्मा_माफी_मांगो #वी_डी_शर्मा_माफी_मांगो #वी_डी_शर्मा_माफी_मांगो #वी_डी_शर्मा_माफी_मांगो #वी_डी_शर्मा_माफी_मांगो #वी_डी_शर्मा_माफी_मांगो #वी_डी_शर्मा_माफी_मांगो  @BJP4India @BJP4MP @JPNadda,hi,Wildlife and Vegetation,all_conservation
192,"The Royal Heritage !! Bandhavgarh National Park is the best park to spot a Tiger in the wild in India Call:- 9993819000, 9302411378, 9893999221  https://t.co/THzJuBEYCW #theroyalheritage #nationalpark #tiger #best #resort #restaurant #garden #enjoy #fun #happy #bandhavgarh #umaria  https://t.co/8D0F4O4rhs",en,Wildlife and Vegetation,Bandhavgarh National Park
193,@fairhino Deserved 😍,en,Films and OTT,StarKids
194,@Nand20Ahuja @KapilSharmaK9 @SonuSood Sir pls help thse children with mobile pls frm tmrw three exams online pls  https://t.co/mPXAUBq1pK,en,Education,Exams
195,World Nature Conservation Day #WorldNatureConservationDay #gogreen #green #recycle #eco #plasticfree  #sustainableliving #globalwarming #climate  #conservation #india #wildlife #ecology,en,Wildlife and Vegetation,climate change(wildlife)
196,Tiger cub found dead in Ranthambore National Park   http://t.co/kOWVtK9Hb5  http://t.co/XtBfyTsi7s,en,Wildlife and Vegetation,Ranthambore National Park
197,@Adille1 @sr_abhi_02 @afiindia @Media_SAI @IndiaSports @kheloindia @IndianOlympians @Neeraj_chopra1 @TheJSWGroup @ianuragthakur @KirenRijiju I agree with you sir. Govt needs to be appreciated for the support provided to athletes.,en,Sports,Olympics
198,@mpparimal @moefcc @PrakashJavdekar @WWFINDIA @WWF @ElephantCrisis @World_Wildlife @wti_org_india @WildlifeSOS @NatGeo @AnimalPlanetIn Its very great effort for elephants🐘🐘🐘,en,Wildlife and Vegetation,Save Elephants
199,"Elephant Safari in Rajasthan with Calling India Tour Oct 3 - Oct 10  https://t.co/1Ao15uKI6V The most regal way of seeing Rajasthan is on an elephant safari, since nothing can even compare with the majesty of the parchyderm on wonder the rulers used elephants for their journeys.  https://t.co/IkpIAuq0Ll",en,Wildlife and Vegetation,Wildlife Tourism and Heritage
200,"@GovindDotasra माननीय मुख्यमंत्री अशोक गहलोत जी और  शिक्षा मंत्री गोविन्द सिंह डोटासरा से मेरा निवेदन है की मेरा exam  8 नवम्बर 2020 को सीकर मे होने जा रहा है,  मेरा आधार कार्ड मे समस्या होने के कारण मेरा बायोमेट्रिक नहीं लग रहा है, किसी भी तरह से exam देने मे सहायता करे 🙏😭",hi,Education,Exams
201,"Gir National Park is situated in Gujarat, the only home of Asiatic lions in India. With the population of about 523 Asiatic lions in the wildlife reserve, Gir National Park acquires major attention of tourists and wildlife enthusiasts to spot lions.   https://t.co/a9rrddauZY  https://t.co/5mn6cKC0su",en,Wildlife and Vegetation,Gir National Park
202,@hwnggenius .,und,Films and OTT,StarKids
203,@nidhinmohan001 @airtelindia @Airtel_Presence @reliancejio @JioCare Please accept daily new challenge because it's ....               5G ready Network  😉 !  काश !          एक ही sim से कोई सा भी नेटवर्क चुनने की आजादी मिलती 😟😰 🙏  @TRAI @ConnectCOAI @DoT_India @_DigitalIndia  Provide 4G+ first ASAP @ViCustomerCare,und,R&D and Technology,Mobile Technology
204,"The Great Indian Bustard was nearing extinction in India, until this doctor made it his personal mission to save it.  https://t.co/3k9nqO1DAx  https://t.co/MghuxJQIqr",en,Wildlife and Vegetation,Save the Great Indian Bustard
205,you Remember this post of #TATASTEEL Friends ?  if yes then now seeeeeeee price please !!  As expected Done our Full target of 1481   this is power of #BOXCHART,en,Manufacturing,Steel Manufacturing
206,India launches $6.7 billion plan to boost electronics manufacturing  https://t.co/6KKwr29YVG  via NaMo App  https://t.co/g3ccGPXqkv,en,Manufacturing,Electronics and electrical manufacturing
207,@nLunarz Jesus Christ,da,Economics and Retail,SEBI and New margin rules
208,PM Narendra Modi reviews Namami Gange programme  https://t.co/dHMUADwSCn  via NMApp  https://t.co/zp9q4x9LwJ,tl,Wildlife and Vegetation,River Rejuvenation
209,@Notsoyoung5 @AgneloD41452429 @narendramodi @cslcochin @makeinindia @indiannavy Atleast he tweet from his original ID with his own photo unlike you sanghi.,en,Manufacturing,Make in India
210,India: Death toll rises to 89 in Assam floods  https://t.co/0SFIzBsHS7  https://t.co/lX480Fhpvm,en,ENVIRONMENT,Floods
211,"""Celebrating Natural Heritage In Literature, Arts and Culture"" at Wildlife Institute of India, awesome initiative!  https://t.co/Z6Lq0GI1aZ",en,Wildlife and Vegetation,Wildlife Tourism and Heritage
212,@Legacy_Daark Dk introducing kabbadi for Nasser hussain🔥,da,Sports,Olympics
213,Launch of 231 Ganga revival projects today: ‘Namami Gange’ programme to commence today with the launch of 231...  https://t.co/yT8zMSzS8E,en,Wildlife and Vegetation,River Rejuvenation
214,@thecableng We have good doctors.  Support them. Sponsor them. Nepotism &amp; favoritism must come to an end.,en,Films and OTT,Nepotism in Film Industry
215,"A nonsense, rascle, idiot govt can't give house, to the poor  coastal people  of Odisha since FANI in Puri, Jagatsinghpur, CTC, bbsr etc.",en,Natural Disaster,Cyclone
216,सुदूरपश्चिममा तीन घण्टामा १३ पटक भूकम्प धक्का  https://t.co/KB3M4wGW0g via @nagarik_news,ne,Natural Disaster,Earthquake
217,#TechnicalOfficer #TO #FSSAI #AbhinayFoodTech✌️✌️  https://t.co/9Gxcbp5UiU,und,FOOD,Food security
218,Jim Corbett National Park  https://t.co/KfoepP0KIm,en,Wildlife and Vegetation,Corbett National Park
219,The new mural being made is the one that we need and the one frontliner deserve.,en,Art and Literature,Forms of Indian Art
220,Great to see @payalchawla telling us her awesome story as an entrepreneur and kick as lawyer! #JaipurShorts @JaipurLitFest @USAmbIndia #JaipurLiteratureFestival2021 @USAndIndia  https://t.co/dVqjYB4rqS,en,Art and Literature,Literature festivals
221,@ceo_fssai @GAINalliance Many thanks to FSSAI and CEO Pawan Agarwal--one person can make a difference. Admire your leadership on safe nutritious foods in India.,en,FOOD,Food security
222,@INCTelangana #PegasusSnoopgate,und,Politics,Pegasus Snooping
223,"On the 75th year of glorious &amp; independent India, let's celebrate our nation's rich history of culture, people &amp; achievements by joining the #AzadiKaAmritMahotsav, an initiative of the GOI dedicated to those fuelled by the spirit of #AtmanirbharBharat #Skill4NewIndia.  https://t.co/6ipVIF2hEh",en,Manufacturing,Make in India
224,"""@PetikanNovel_ “My special someone has become somebody else’s special someone.” #AWishForLove""",en,Wildlife and Vegetation,Nanda Devi National Park
225, https://t.co/S0goiMmO9L: Indian EV startup Zypp Electric launches services in Hyderabad  https://t.co/zNHUoN0NH1,en,Economics and Retail,Unicorns
226,"Giving boost to Modi’s ‘Make in India’, Xiaomi announces second manufacturing plant in India  https://t.co/nEqOc3AfEh  via NMApp  https://t.co/9aTFWfqraq",en,Manufacturing,Electronics and electrical manufacturing
227,@KanaujiaSatyen1 @aajtak @AneeshaMathur Create worshipful history by one education system in one constitution.  Jai hind,en,Education,Education System
228,Make in India: Xiaomi plans to set up 2 manufacturing plants in India this year  https://t.co/wBQOvD89Wh,en,Manufacturing,Electronics and electrical manufacturing
229,@NitishKumar has not only ruined the education system but also ensured that it must not improve in comming thirty years. #FailedCMNitish,en,Education,Education System
230,"If you know, you know.   Fresh Kulfi at the OKD a community Vaccine Clinic donated by Basant Kulfi.   @WorldSikhOrg @regionofpeel  https://t.co/IsjbYd4Eki",en,FOOD,Indian desserts
231,India's #forest cover’s grown to 24% against a decreasing trend globally!  https://t.co/KG3nAAfh4v,en,Wildlife and Vegetation,Forest Cover
232,Apakah perkara yang buat korang badmood? Me: tengah online class pastu line tetiba putus,in,Education,Online Education
233, https://t.co/tqUPwekpvH Fani Hits @CMOfficeUP  @ChhattisgarhCMO  @CMMadhyaPradesh  @bhupeshbaghel  @myogiadityanath  @DPRChhattisgarh,en,Natural Disaster,Cyclone
234,Can the #Modi Government be made answerable on #PegasusSnoopgate before a Joint Parliamentary Committee or #SupremeCourtOfIndia ? @BBCBreaking @nytimes @cnnbrk @AJENews @AP @ndtvindia @htTweets @DainikBhaskar @srinivasiyc @MahuaMoitra @ranjona @PawarSpeaks @VP @bainjal @Nidhi,en,Politics,Pegasus Snooping
235,"In Indian startup ecosystem, there is ample amount of funding opportunities available irrespective of their products for serial entrepreneurs. I am amazed to see people worth millions of $ signing up on a Neo Bank app for 10 % cash back on UPI and Debit Card transactions.",en,Economics and Retail,Unicorns
236,This is great! This has to be eradicated from the education system completely!,en,Education,Education System
237,"#Sorryveerkars in action ..  #Deshprem redefined   From Army and BSF to RAW, Spyware Threat Touched National Security Field Too    https://t.co/HH09Lbyb4g  #Pegasus #PegasusSnoopgate",en,Politics,Pegasus Snooping
238,"@Sootradhar @BJP4India @PMOIndia @AmitShah poet of india,  bjp's 1st PM OF INDIA, the best devotee to INDIA, A Great sculpture of india.... IRON MAN OF INDIA, eminant person of india left us into sad and deep sorrow and delightful india",en,Art and Literature,Forms of Indian Art
239,$MT ArcelorMittal announces sale of Cleveland-Cliffs common stock with the proceeds to be returned to shareholders via a $750 million share buyback  https://t.co/4IWCZT7jnn,en,Manufacturing,Steel Manufacturing
240,""" The Family Man"" Director's Raj &amp; DK about Samantha's role in season 2 !!  #TheFamilyManSeason2 #TheFamilyMan #SamanthaAkkineni #RajAndDk #SoCalledCinema  https://t.co/HaSHaroXnv",en,Films and OTT,OTTCensorship
241,#HappyIndependenceDay2021  @zomato killing it 💯  https://t.co/gGFpj51RrU,en,Economics and Retail,Initial Public Offering (IPO)
242,@yashstocks effect of new SEBI margin rules,en,Economics and Retail,SEBI and New margin rules
243,#BengalElection2021 अपने तिहारी भाई @sudhirchaudhary अपने DNA कार्यक्रम में बंगाल के लोगो को लालची और बेईमान बनाने की स्क्रिप्ट तैयार कर रहे होंगे।,hi,Politics,"West Bengal Elections, 2021"
244,IPL脱毛器が安くなってたから買ってみた🤭これで足のケア楽になるかなー？ 脇と口まわりは若い頃に医療脱毛したけど、足腕やるとすごい金額だったから諦めたのよね😂,ja,Sports,Indian Premier League (IPL)
245,"""O maior plot twist da CPI. Sobre o ESCÂNDALO da COVAXIN  -Renan sabia de TUDO  -Omar e o IRMÃO do Renan foram autores de MPs p/ comprar a Covaxin  -Randolfe foi RELATOR da MP e deu parecer FAVORÁVEL  -A servidora recebeu cargo comissionado pela 1a vez no governo LULA  A casa cai",pt,R&D and Technology,Health-Tech and Medical Innovations
246,"Nilgiri Mountain Railway - Tamil Nadu , India  http://t.co/5U46Kz2H1w",in,Wildlife and Vegetation,Nilgiri National Park
247,@khanumarfa Kashmir policy or Jammu &amp; Kashmir policy …….. Jammu wala kulfi choose ??,in,FOOD,Indian desserts
248,“Terrifying Video of Cyclone Nisarga hitting a ship 🚢 so hard that it is to sink”   Follow @VOLFdotTV for more videos and news.   #NisargaCyclone #CycloneNisarga #CycloneNisargaUpdate #Mumbai #BreakingNews #News #viral #ViralVideos #StayHomeStaySafe #volftv #Cyclone  https://t.co/dWqHVGRHn9,en,Natural Disaster,Cyclone
249,"Rw lw chicken wing all wings have totally started to hate him tbh  And it will get worse if he loses the t20 wc, You cannot justify not winning a cup even after you are given captaincy over a guy who has his trophy cabinet filled with Ipl trophies.... #ENGvsIND",en,Sports,Indian Premier League (IPL)
250,Wildlife Institute of India (WII) Recruitment Assistant Technical Officer &amp; World Heritage…  http://t.co/TaxG8ioz3E,en,Wildlife and Vegetation,Wildlife Tourism and Heritage
251,"In NMCG Executive Committee meeting projects of worth nearly Rs 150 crores were approved in Uttarakhand, Uttar Pradesh, Bihar and West Bengal under the Namami Gange programme.  https://t.co/47yDLYMAzV @cleanganganmcg #CleanGangaFund #INTACH",en,Wildlife and Vegetation,River Rejuvenation
252,@gauravchoudhury Just a humble counter observation Gaurav da; those political murders amount to hyper-masculinity or not?   #BengalElection2021,en,Politics,"West Bengal Elections, 2021"
253,How might planting hundreds of billions of 🌲 impact climate change &amp; our planet? We look at some of the pros &amp; cons of planting trees as one climate mitigation strategy &amp; how NASA is contributing to research on the viability of global forest restoration.  https://t.co/fuqSPa4ZCD,en,Wildlife and Vegetation,Restoration
254,On wednesday ISRO discovered a new planet. It was designated ZH-417 and will be given a new name later.,en,R&D and Technology,ISRO
255,Gir National Park is situated in which Indian state? #IncomparableIndia,en,Wildlife and Vegetation,Gir National Park
256,"MSME क्षेत्र को उबारने के लिए मोदी सरकार ने काफी कुछ किया, लेकिन अभी बहुत कदम उठाये जाने बाकी हैं  https://t.co/9XOlQ72dGL #msme #NarendraModi #indianeconomy #prabhasakshinews  https://t.co/eWmrS2sxN2",hi,Journalism & Media,Social Movements and News
257,Floatel India's Only Floating Hotel - Best Eco friendly hotel in town.  http://t.co/Ajl6YoGsrr,en,ENVIRONMENT,Eco Friendly
258,Help to end the cruel treatment of elephants in India! Plz sign:  https://t.co/q1mD4uAbCD  https://t.co/CjLtD6HdWe,en,Wildlife and Vegetation,Save Elephants
259,@cromaretail  #AwesomeTimeWithDad We had a blast on our Diu &amp; Gir National Park trip as we both love sea and wildlife.,en,Wildlife and Vegetation,Gir National Park
260,"Bandhavgarh National Park &amp; Tiger Reserve Madhya Pradesh, India  https://t.co/5vTeogqHSJ",ht,Wildlife and Vegetation,Bandhavgarh National Park
261,India’s child activists lead the fight against climate change  https://t.co/k9DHODdJ7O  https://t.co/GEytAMqDGi,en,ENVIRONMENT,Climate Change
262,Withdraw Islamic history from UPSC exam.,en,Education,Exams
263,"@PrimeVideoIN My prime video account is facing issues from last 3 days , is prime down ? Whenever I open prime I get a message that your login is failed. Please do help ?",en,Films and OTT,"OTT platforms such as Netflix, Amazon Prime Video, etc"
264,In India covid-19 situation is worse a d flood and public transport and proper hotels and wear mask about 5-6hr.  It is not possible so please @Swamy39 #PostponeJEEAndNEET #SWAMJI_HELPJEENEET   https://t.co/GEH00IF02X,en,ENVIRONMENT,Floods
265,The Gir National Park is well known as being the shelter of the Asiatic lions🦁🦁. In recent times there are about six hundred Asiatic lions in the wild. Contact Us 📱9821304180 for Online Gir Safari and Hotel Bookings. Book Online 👉👉  https://t.co/RlN5nl8xmO  https://t.co/a88jmHnCjp,en,Wildlife and Vegetation,Gir National Park
266,The Chennai Book Fair starts today. You can find our books at the Eureka Books Stall :  https://t.co/B1Fce8UGLQ,en,Art and Literature,Book Fairs
267,#BengalViolence  #amitshagmusttakeaction BJP govt must wake up now if their karyakartas will die like this then in future nobody will support BJP #modineedsejaag #amitshahneedsejaag @narendramodi @AmitShah @PMOIndia #shameonbjp #BengalElection2021 #BengalViolence,en,Politics,"West Bengal Elections, 2021"
268,@bengalurufc @WestBlockBlues 🔵👏,und,Sports,Indian Super League (ISL)
269,Is football all about money? Is there no place the fans who supported for 100 years?  Whose fault is that we have merge with a active football team not a good sponsors like @bengalurufc ?  Don't we deserve this?  Our passion to Mohun Bagan is nothing to officials?  #RemoveATK  https://t.co/LOmM4p5lxE,en,Sports,Indian Super League (ISL)
270,"Dear vendors, We are looking for sms routes in Malaysia,indonesia,vietnam and india. Good rate and volume,less blockage in sms route. Good payment,no delay,Twice payment in a week. If you have interest,Kindly contact me. Skype:live:seven_551 whatsApp#+008618702519397(phone)",en,Films and OTT,OTT Voicecalling
271,DIDI O DIDI @AITCofficial  #BengalElection2021. Now all begalis are antinational😂😂,en,Politics,"West Bengal Elections, 2021"
272,"Rehab India Foundation serves the poorest and remotest villages with innovative, responsive and eco-friendly solutions to their basic survival needs. It has adopted 76 villages in the part of Bihar, West Bengal, Assam, Karnataka, Manipur, Uttar Pradesh and Andhra Pradesh.  (1/2)",en,ENVIRONMENT,Eco Friendly
273,@aFyAP5rXt7NqU2S @navalkant @rahuldev2 Z for Zomato,pl,Economics and Retail,Initial Public Offering (IPO)
274,@jkmccrann I'm not a fan of the consultancy trends in politics anywhere in Australia. It appears to be a very efficient way of ripping off taxpayers. It also seems to encourage cronyism and nepotism.,en,Films and OTT,Nepotism in Film Industry
275,India's forest cover/ source DTE:  http://t.co/yaAuq3peSe  http://t.co/bzj3kHkgbt,en,Wildlife and Vegetation,Forest Cover
276,"The photographer has captured Spotty, the tigress, with her cub, when they were both on alert. The mother-and-son duo in Bandhavgarh National Park had just spotted an elephant. #MagnificentMP Congratulations to Mahendra Jain on winning today's #DailyShot.  Powered by @MPTourism.  https://t.co/n64ki9UbQs",en,Wildlife and Vegetation,Bandhavgarh National Park
